ID,age,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season_no,total_season,block_id
493,35.0,45,5.4,2.4,4.4,1.0,0.023,0.113,0.166,0.544,0.375,2,3,270
493,36.0,39,4.8,2.8,4.4,-7.8,0.02,0.118,0.152,0.496,0.366,3,3,270
28,20.0,15,3.8,0.9,1.3,1.2,0.016,0.065,0.165,0.471,0.1939999999999999,1,3,15
28,21.0,42,9.0,2.3,1.5,-6.6,0.022,0.098,0.206,0.528,0.13,2,3,15
28,22.0,62,8.5,2.0,2.1,2.8,0.022,0.1,0.205,0.581,0.1969999999999999,3,3,15
335,28.0,71,6.5,2.7,5.0,1.1,0.0279999999999999,0.107,0.1669999999999999,0.54,0.354,1,3,189
335,29.0,69,8.6,3.7,6.6,2.5,0.03,0.106,0.149,0.583,0.337,2,3,189
335,30.0,27,8.5,3.3,4.9,-5.5,0.0289999999999999,0.11,0.157,0.525,0.287,3,3,189
163,22.0,72,15.9,10.2,5.1,5.0,0.077,0.2239999999999999,0.212,0.598,0.238,1,3,96
163,23.0,64,18.7,9.0,5.4,0.6,0.07,0.204,0.233,0.626,0.267,2,3,96
163,24.0,56,19.1,10.1,3.4,8.1,0.08,0.2339999999999999,0.248,0.608,0.172,3,3,96
79,24.0,58,4.9,2.0,1.4,0.7,0.031,0.09,0.127,0.563,0.129,1,3,48
79,25.0,60,4.1,1.5,1.2,3.3,0.022,0.107,0.146,0.5479999999999999,0.136,2,3,48
79,26.0,66,4.2,1.7,1.5,-3.0,0.0139999999999999,0.0969999999999999,0.135,0.531,0.148,3,3,48
432,30.0,61,7.2,5.2,2.5,-1.0,0.087,0.195,0.173,0.613,0.21,1,3,239
432,31.0,56,10.4,9.3,3.6,-4.9,0.095,0.264,0.163,0.638,0.205,2,3,239
432,32.0,73,6.5,7.7,3.1,0.9,0.091,0.205,0.1169999999999999,0.603,0.165,3,3,239
51,24.0,9,2.4,0.6,0.7,-15.9,0.0,0.053,0.196,0.297,0.12,1,3,30
51,25.0,50,4.8,1.1,1.3,-5.9,0.016,0.068,0.184,0.498,0.161,2,3,30
51,26.0,68,8.7,1.9,3.1,3.1,0.0139999999999999,0.064,0.174,0.551,0.198,3,3,30
511,24.0,62,12.1,6.6,1.2,0.4,0.047,0.168,0.18,0.5660000000000001,0.057,1,3,282
