PlayerID,player_height,player_weight,Unnamed: 0,team_abbreviation,age,college,country,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season_index,seasons_total
1802,205.74,102.0582,4663,CHA,28.0,,USA,Undrafted,Undrafted,48,9.2,2.9,0.5,-1.3,0.035,0.146,0.19,0.625,0.049,1,3
1802,205.74,102.0582,4954,DET,29.0,,USA,Undrafted,Undrafted,45,3.4,1.6,0.4,-0.6,0.065,0.158,0.2,0.494,0.085,2,3
1802,205.74,102.0582,5564,DET,30.0,,USA,Undrafted,Undrafted,59,3.8,1.8,0.4,1.1,0.048,0.152,0.17,0.514,0.055,3,3
2317,187.96,86.18248,6555,MIA,25.0,Kansas,USA,2,34,70,6.4,2.1,2.5,8.8,0.009,0.094,0.15,0.5379999999999999,0.172,1,7
2317,187.96,86.18248,7074,MIA,26.0,Kansas,USA,2,34,64,9.8,2.7,3.5,10.5,0.011,0.096,0.173,0.578,0.183,2,7
2317,187.96,86.18248,7518,MIA,27.0,Kansas,USA,2,34,77,8.6,2.2,3.5,14.6,0.012,0.086,0.16,0.5760000000000001,0.183,3,7
2317,187.96,86.18248,7997,MIA,28.0,Kansas,USA,2,34,73,9.8,2.9,4.9,8.1,0.025,0.096,0.173,0.5670000000000001,0.2319999999999999,4,7
2317,187.96,86.18248,8169,MIA,29.0,Kansas,USA,2,34,80,10.2,2.6,3.8,-3.1,0.013,0.092,0.188,0.521,0.216,5,7
2317,187.96,86.18248,9061,MIA,30.0,Kansas,USA,2,34,61,10.3,2.6,3.8,2.9,0.02,0.111,0.218,0.561,0.27,6,7
2317,187.96,86.18248,9576,MEM,32.0,Kansas,USA,2,34,66,7.7,2.4,3.0,-2.5,0.009,0.104,0.186,0.503,0.214,7,7
2883,198.12,86.18248,8455,UTA,19.0,,Australia,1,5,82,4.8,1.6,2.4,3.3,0.018,0.065,0.141,0.457,0.1689999999999999,1,4
2883,198.12,86.18248,9372,UTA,21.0,,Australia,1,5,66,6.2,2.0,1.7,2.0,0.0289999999999999,0.091,0.181,0.521,0.144,2,4
2883,198.12,86.18248,9831,UTA,22.0,,Australia,1,5,14,8.1,1.9,3.1,8.1,0.018,0.083,0.223,0.5660000000000001,0.27,3,4
2883,198.12,86.18248,10333,UTA,23.0,,Australia,1,5,42,6.9,1.6,2.6,3.2,0.024,0.077,0.207,0.516,0.251,4,4
658,205.74,131.54168,1078,WAS,23.0,Georgetown,USA,2,43,20,2.5,2.9,0.1,-4.7,0.139,0.191,0.147,0.517,0.008,1,7
658,205.74,131.54168,1690,WAS,24.0,Georgetown,USA,2,43,80,7.1,6.9,0.2,-3.4,0.152,0.261,0.184,0.524,0.015,2,7
658,205.74,131.54168,1820,WAS,25.0,Georgetown,USA,2,43,68,8.6,7.7,0.3,-7.3,0.131,0.255,0.192,0.535,0.021,3,7
658,205.74,131.54168,2384,WAS,26.0,Georgetown,USA,2,43,71,5.4,6.3,0.2,-3.5,0.1369999999999999,0.257,0.142,0.552,0.019,4,7
658,205.74,131.54168,2972,WAS,27.0,Georgetown,USA,2,43,16,4.2,4.6,0.1,-4.9,0.1689999999999999,0.187,0.149,0.523,0.013,5,7
658,205.74,131.54168,3196,PHX,28.0,Georgetown,USA,2,43,62,4.2,4.2,0.1,-5.4,0.129,0.209,0.161,0.532,0.013,6,7
658,205.74,131.54168,3876,CHA,29.0,Georgetown,USA,2,43,17,2.5,2.0,0.1,0.8,0.095,0.2019999999999999,0.203,0.432,0.011,7,7
